date,precip,pet,q_obs
1980-01-01,7.44,0.18,0.288
1980-01-02,1.75,0.15,0.345
1980-01-03,7.21,0.14,0.35
1980-01-04,2.77,0.1,0.336
1980-01-05,22.31,0.16,0.338
1980-01-06,2.39,0.0,0.37599999999999995
1980-01-07,0.05,0.0,0.314
1980-01-08,14.94,0.0,0.302
1980-01-09,12.92,0.04,0.269
1980-01-10,8.08,0.02,0.24900000000000005
1980-01-11,4.2,0.0,0.24900000000000005
1980-01-12,17.33,0.15,0.303
1980-01-13,18.06,0.2,0.5349999999999999
1980-01-14,8.03,0.21,0.8849999999999725
1980-01-15,5.42,0.17,1.086999999999507
1980-01-16,0.58,0.12,0.9329999999999197
1980-01-17,3.76,0.15,0.7749999999998507
1980-01-18,0.41,0.01,0.6699999999998936
1980-01-19,0.04,0.0,0.528
1980-01-20,0.0,0.0,0.36699999999999994
1980-01-21,0.79,0.06,0.37599999999999995
1980-01-22,0.08,0.0,0.446
1980-01-23,0.06,0.05,0.425
1980-01-24,0.01,0.12,0.403
1980-01-25,2.95,0.0,0.403
1980-01-26,0.0,0.0,0.315
1980-01-27,0.14,0.0,0.182
1980-01-28,0.0,0.0,0.164
1980-01-29,0.0,0.0,0.154
1980-01-30,0.02,0.0,0.159
1980-01-31,1.31,0.0,0.18500000000000003
1980-02-01,8.66,0.1,0.257
1980-02-02,2.32,0.18,0.384
1980-02-03,16.6,0.23,0.44200000000000006
1980-02-04,0.25,0.18,0.5969999999997067
1980-02-05,0.37,0.13,0.532
1980-02-06,2.23,0.22,0.45599999999999996
1980-02-07,2.35,0.15,0.43
1980-02-08,0.0,0.09,0.422
1980-02-09,0.0,0.12,0.401
1980-02-10,0.0,0.11,0.37000000000000005
1980-02-11,0.0,0.08,0.36299999999999993
1980-02-12,3.55,0.06,0.35500000000000004
1980-02-13,10.14,0.06,0.351
1980-02-14,0.89,0.0,0.333
1980-02-15,1.46,0.08,0.31
1980-02-16,0.73,0.13,0.309
1980-02-17,1.38,0.19,0.326
1980-02-18,8.06,0.28,0.437
1980-02-19,6.22,0.29,0.7059999999995622
1980-02-20,7.76,0.26,0.9879999999999806
1980-02-21,2.73,0.2,1.096999999999836
1980-02-22,1.85,0.18,0.9599999999995253
1980-02-23,1.82,0.18,0.8559999999998343
1980-02-24,0.2,0.16,0.757999999999991
1980-02-25,0.0,0.27,0.6999999999997147
1980-02-26,0.23,0.33,0.6819999999995887
1980-02-27,1.48,0.4,0.7419999999998141
1980-02-28,4.84,0.34,0.9359999999995519
1980-02-29,2.5,0.29,1.4249999999996692
1980-03-01,0.17,0.38,1.2479999999997913
1980-03-02,0.24,0.46,1.1109999999994804
1980-03-03,3.05,0.46,1.0339999999999783
1980-03-04,29.03,0.35,1.330999999999724
1980-03-05,5.03,0.24,1.4999999999998053
1980-03-06,2.31,0.18,1.3149999999995472
1980-03-07,1.0,0.15,1.1639999999995922
1980-03-08,2.6,0.2,1.0439999999997245
1980-03-09,1.02,0.26,0.9719999999998038
1980-03-10,1.22,0.34,0.9019999999998322
1980-03-11,5.18,0.4,0.9519999999997287
1980-03-12,0.48,0.21,0.9569999999998933
1980-03-13,5.14,0.24,0.8739999999999603
1980-03-14,10.26,0.33,0.8659999999995803
1980-03-15,7.49,0.22,0.9119999999995784
1980-03-16,4.17,0.08,0.851999999999936
1980-03-17,1.14,0.14,0.8109999999995195
1980-03-18,4.07,0.32,0.8079999999998874
1980-03-19,1.17,0.28,0.8399999999996578
1980-03-20,1.72,0.33,0.8259999999994302
1980-03-21,5.21,0.35,0.8299999999999116
1980-03-22,0.57,0.37,0.824999999999747
1980-03-23,0.01,0.3,0.777999999999483
1980-03-24,1.38,0.2,0.7389999999995988
1980-03-25,0.01,0.18,0.6889999999997025
1980-03-26,1.46,0.28,0.6499999999998185
1980-03-27,1.75,0.25,0.6429999999997047
1980-03-28,1.21,0.25,0.6289999999994771
1980-03-29,1.3,0.38,0.5999999999999222
1980-03-30,10.56,0.2,0.6239999999998956
1980-03-31,0.11,0.19,0.6219999999999465
1980-04-01,0.6,0.36,0.5979999999999729
1980-04-02,0.41,0.41,0.5859999999996945
1980-04-03,0.28,0.52,0.583
1980-04-04,1.37,0.67,0.6069999999994528
1980-04-05,2.91,0.82,0.6329999999999586
1980-04-06,9.46,0.69,0.7899999999997612
1980-04-07,2.28,0.36,0.8809999999994909
1980-04-08,0.03,0.51,0.8039999999999888
1980-04-09,9.73,0.76,0.7869999999995461
1980-04-10,5.54,0.54,0.973999999999753
1980-04-11,0.17,0.6,1.0389999999995598
1980-04-12,0.0,0.8,1.0339999999999783
1980-04-13,0.82,1.04,1.105999999999899
1980-04-14,0.77,1.24,1.3289999999997748
1980-04-15,2.36,0.9,1.731999999999744
1980-04-16,0.0,0.88,1.8689999999994713
1980-04-17,0.0,1.29,1.9029999999997744
1980-04-18,0.0,1.3,2.348999999999526
1980-04-19,0.0,1.35,2.8979999999998687
1980-04-20,0.0,1.36,3.34399999999962
1980-04-21,0.02,1.37,4.028999999999424
1980-04-22,0.82,1.24,4.028999999999424
1980-04-23,5.01,1.3,4.611999999999486
1980-04-24,3.72,1.14,5.263999999999837
1980-04-25,1.02,1.06,5.109999999999667
1980-04-26,0.23,1.3,4.748999999999798
1980-04-27,0.31,1.46,5.160999999999829
1980-04-28,0.72,1.52,5.606999999999581
1980-04-29,8.4,1.19,6.257999999999665
1980-04-30,5.92,0.76,5.503999999999573
1980-05-01,0.54,1.6,4.594999999999627
1980-05-02,4.49,2.06,4.920999999999511
1980-05-03,4.58,1.86,5.932999999999464
1980-05-04,0.0,2.01,6.086999999999635
1980-05-05,1.09,2.21,6.000999999999486
1980-05-06,7.03,1.96,6.326999999999953
1980-05-07,4.69,1.49,5.966999999999767
1980-05-08,1.82,1.64,5.503999999999573
1980-05-09,9.85,1.51,5.537999999999876
1980-05-10,10.45,1.32,5.126999999999526
1980-05-11,0.99,1.37,4.508999999999479
1980-05-12,1.0,1.45,4.011999999999565
1980-05-13,2.88,1.63,3.7549999999999697
1980-05-14,1.79,1.66,3.685999999999681
1980-05-15,5.86,1.49,3.6689999999998206
1980-05-16,8.45,1.22,3.9089999999995566
1980-05-17,0.07,1.35,3.4979999999997906
1980-05-18,0.2,1.89,3.394999999999783
1980-05-19,0.0,2.12,3.514999999999651
1980-05-20,0.0,2.21,4.114999999999572
1980-05-21,1.09,2.36,4.971999999999673
1980-05-22,4.91,2.02,5.4009999999995655
1980-05-23,27.55,1.3,5.451999999999727
1980-05-24,15.74,1.12,4.406999999999737
1980-05-25,26.54,1.14,4.166999999999418
1980-05-26,20.42,1.14,6.39599999999966
1980-05-27,3.38,1.27,5.057999999999821
1980-05-28,2.23,1.32,4.423999999999596
1980-05-29,1.1,1.34,4.286999999999869
1980-05-30,1.42,1.5,4.045999999999867
1980-05-31,0.38,1.49,3.960999999999985
1980-06-01,13.2,1.76,3.977999999999845
1980-06-02,14.54,1.56,4.920999999999511
1980-06-03,3.66,1.48,4.577999999999767
1980-06-04,1.79,1.7,4.23499999999944
1980-06-05,2.46,1.81,4.028999999999424
1980-06-06,9.37,1.85,4.080999999999853
1980-06-07,0.81,2.0,3.977999999999845
1980-06-08,0.24,2.55,3.685999999999681
1980-06-09,0.01,3.0,3.805999999999549
1980-06-10,2.12,2.77,4.23499999999944
1980-06-11,6.18,2.67,4.491999999999619
1980-06-12,10.85,2.54,4.731999999999938
1980-06-13,6.6,2.06,4.646999999999473
1980-06-14,1.26,2.23,4.131999999999432
1980-06-15,16.71,2.11,4.9549999999998136
1980-06-16,1.34,2.46,4.423999999999596
1980-06-17,0.25,2.81,4.183999999999861
1980-06-18,0.11,2.67,4.131999999999432
1980-06-19,0.82,2.77,3.9089999999995566
