date,precip,pet,q_obs
1980-01-01,0.46,0.33,0.7049999999999849
1980-01-02,0.0,0.31,0.5969999999999946
1980-01-03,0.0,0.36,0.531999999999988
1980-01-04,6.98,0.46,0.5369999999999857
1980-01-05,0.51,0.36,1.1659999999999986
1980-01-06,0.0,0.23,1.8439999999999996
1980-01-07,0.0,0.35,1.680999999999998
1980-01-08,0.03,0.53,1.1659999999999986
1980-01-09,0.1,0.63,0.8679999999999863
1980-01-10,0.0,0.62,0.7589999999999891
1980-01-11,3.63,0.66,0.7049999999999849
1980-01-12,1.64,0.64,0.7159999999999871
1980-01-13,10.48,0.58,1.0849999999999922
1980-01-14,15.56,0.53,1.274999999999996
1980-01-15,0.0,0.45,2.4409999999999945
1980-01-16,0.49,0.53,2.9179999999999895
1980-01-17,0.01,0.6,3.2439999999999922
1980-01-18,0.07,0.66,1.7899999999999952
1980-01-19,0.03,0.61,1.3229999999999955
1980-01-20,0.05,0.54,1.1819999999999986
1980-01-21,0.1,0.54,0.9219999999999906
1980-01-22,0.46,0.61,0.7969999999999936
1980-01-23,17.49,0.61,0.8409999999999841
1980-01-24,0.06,0.29,1.1119999999999943
1980-01-25,0.0,0.41,1.2849999999999913
1980-01-26,32.37,0.55,1.209999999999989
1980-01-27,6.55,0.61,4.761999999999989
1980-01-28,0.0,0.53,7.321999999999995
1980-01-29,0.0,0.46,9.762999999999987
1980-01-30,0.15,0.48,10.57699999999999
1980-01-31,6.36,0.52,6.942999999999993
1980-02-01,0.2,0.28,2.5379999999999825
1980-02-02,0.0,0.23,1.5729999999999897
1980-02-03,0.0,0.28,1.2199999999999844
1980-02-04,0.11,0.29,1.030999999999988
1980-02-05,0.0,0.33,0.9109999999999884
1980-02-06,0.61,0.48,0.7699999999999914
1980-02-07,0.0,0.33,0.6939999999999825
1980-02-08,0.03,0.38,0.6619999999999827
1980-02-09,0.21,0.62,0.6289999999999945
1980-02-10,6.31,0.62,0.6289999999999945
1980-02-11,0.0,0.44,0.6999999999999872
1980-02-12,0.04,0.4,0.6559999999999967
1980-02-13,0.06,0.47,0.6129999999999944
1980-02-14,0.13,0.53,0.5799999999999879
1980-02-15,1.11,0.64,0.531999999999988
1980-02-16,3.06,0.64,0.4989999999999997
1980-02-17,1.48,0.48,0.5099999999999836
